tweet,label
Post about a video claims that it is a protest against confination in the town of Aranda de Duero (Burgos),fake
A chain lists recommendations to prevent and treat coronavirus.,fake
CDC has released an update on how the novel coronavirus can be transmitted,fake
Good oral hygiene destroys the coronavirus and prevents its spread,fake
A video shows Pakistani minister of Health slapping those who do not obey official measures,fake
"A Brazilian deputee says the pandemic has started to decrease in his state, Rio Grande do Sul",fake
A picture shows hydroxychloroquine is being sold on public trains in Rio de Janeiro,fake
A video shows Pakistani minister of Health slapping those who do not obey official measures,fake
A picture shows hydroxychloroquine is being sold on public trains in Rio de Janeiro,fake
A photo collage claims to show images taken during a protest against coronavirus restrictions in Germany in August 2020.,fake
Fact Check: Neither The Viral Post On Coronavirus (COVID-19) Is From UNICEF Nor It Is Accurate,fake
A video supposedly showing a dead COVID-19 victim raising his hand while being lifted away by health workers proves the global pandemic is a hoax.,fake
Chinese vaccines contain a microchip that receives 5G signals and allow Chinese government to interfere with your RNA,fake
A photo of a beach with lots of boats and a message that says there are infected inmigrants in Argelia preparing to travel to Spain.,fake
An image states that mask use causes pneumonia and hypoxia,fake
A picture allegedly showing a crowd in Berlin on August realst protesting agains German government meassures against COVID,real
A photo of a beach with lots of boats and a message that says there are infected inmigrants in Argelia preparing to travel to Spain.,fake
"Pedro Sanchez, president of government of Spain, spoke about a Scientific Committee and now the government recognize that committee never existed.",fake
Photo from the demonstration against meassures by the German government to stop the pandemic.,fake
Spanish Prime Minister Pedro Sanchez told people to invest in Bitcoin during the pandemic,fake
"A picture allegedly showing a large crowd (more than a million people) gathered in Berlin on August realst, 2020 to protest against the restrictive measures imposed by the government during the COVID-19 pandemic.",fake
A photo collage has been shared hundreds of times in multiple posts on Facebook alongside a claim the images were taken during a protest against coronavirus restrictions in Germany in August 2020.,fake
A photo has been shared thousands of times in multiple posts on Facebook and Twitter which claim it shows a protest against coronavirus restrictions in the German capital of Berlin in August 2020.,fake
"List of substances that cure coronavirus, according to a Cali doctor.",fake
Adidas is giving away face masks.,fake
63 intensive care beds were occupied by infected protesters,fake
An image published by the Argentine journalist Viviana Canosa of two people not respecting social distancing at the Casa Rosada,fake
A post that claims that cigarette smoke transmits the coronavirus,fake
Adidas is giving away face masks.,fake
"Eduardo Leite, governor of Rio Grande do Sul, Brazil, is taking hydroxichloroquine and ivermectin against COVID",real
"A combination for hydroxychloroquine, azitromicin and zinc that is guaranteed to cure 99.9% of any COVID-19 patient",fake
"Lojas Americanas, a Brazilian retail company, is offering free gift cards for families in distress caused by the pandemic",fake
"Herman Cain, one-time Republican presidential candidate, died of colon cancer, not COVID-19.",fake
"Ziraldo, Brazilian cartoon artist, stated that all mayors who ordered lockdowns will not be reelected",fake
A doctor claims most Belgians are immune to COVID-19,fake
"Critics say it is wrong to use of PCR tests for to detect COVID-19 since, in theory, this is not specific to SARS-CoV-2. It is a non-specific test in which genetic material from any organism can be detected and can potentially misidentify another virus as COVID-19.",fake
"During COVID-19 PCR test, microships are integrated to human bodies",fake
"Chloroquine is the cure for COVID, and masks should not be used.",fake
The flu vaccine caused the spread of COVID,fake
Chlorine dioxide removes the coronavirus from the body within 48 hours,fake
Wearing a mask lowers the blood oxygen level.,fake
The private health system began offering antibody tests to detect COVID. At the same time that the Ministry of Health said it would buy antigen tests.,real
A video claims Italy discovered that COVID-19 is bacteria not a virus,fake
"Anthony Fauci is married to the sister of Ghislaine Maxwell, who was arrested in the U.S on charges of human trafficking.",fake
The coronavirus is an amplified bacterium and is related to 5G.,fake
An article stating that 25 police officers tested positive to Covid-19 after assisting positive migrants.,fake
A student from Pondicherry University has found a home remedy for COVID-19 that has been accepted by World Health Organization (WHO),fake
"A picture of Brazilian president Jair Bolsonaro in a hospital bed, which would show his condition after testing positive for Covid-19.",fake
"A video of an excerpt from an American television program in which the presenter criticizes the use of masks and, as part of that criticism, supposedly measures the oxygen levels inside the mask that a child is wearing.",fake
Nasal swabs used to obtain samples for COVID-19 tests reach the blood-brain barrier and may damage it.,fake
"Health authorities recommend that you throw a teaspoon of bleach inside every toilet, sink and drain. This helps preventing the SARS-CoV-2 to enter your house through the sewer.",fake
There is a pharmaceutical cure for COVID-19.,fake
"Health authorities recommend that you throw a teaspoon of bleach inside every toilet, sink and drain. This helps preventing the SARS-CoV-2 to enter your house through the sewer.",fake
Coffee cures the coronavirus.,fake
"A video of an excerpt from an American television program in which the presenter criticizes the use of masks and, as part of that criticism, supposedly measures the oxygen levels inside the mask that a child is wearing.",fake
Wearing a mask can cause a fungal infection.,fake
5G spreads the new coronavirus.,fake
The Universal Church of the Kingdom of God published a note stating that healing sessions were suspended due to COVID-19.,fake
"An image circulating via WhatsApp discloses false information about the dates on which, supposedly, the Protect bonus will be deposited in accounts of Costa Rican citizens.",fake
Eating highly alkaline foods can defeat COVID-19. SARS-CoV-2 has a pH level of between 5.5 and 8.5.,fake
Nasal swabs used to obtain samples for COVID-19 tests reach the blood-brain barrier and may damage it.,fake
Pandemics occur once every century.,fake
Prisioners temporarily released because of COVID were responsible for 3.9% of all murders in Brazil in April.,fake
5G spreads the new coronavirus.,fake
Eating highly alkaline foods can defeat COVID-19. SARS-CoV-2 has a pH level of between 5.5 and 8.5.,fake
"If you have symptoms of Covid-19, take azithromycin, ivermectin and acetylcysteine.",fake
David Icke says the pandemic was caused by 5g technology.,fake
Governor of the Brazilian state of Bahia dismissed a doctor who appealed to President Jair Bolsonaro for chloroquine.,fake
An image in which it is stated that kisses and hugs do not increase the risk of transmission of covid,fake
A video claims COVID-19 patients are sitting in the hospital corridor of Gandhi Hospital in Hyderabad,fake
The Philippines does not have the fastest rising number of COVID-19 cases in the Western Pacific Region as classified by the World Health Organization.,fake
Flamingos gather in Venice as there are no tourists around the water channels due to the pandemic.,fake
The vaccine for coronavirus is ready (as of July 7).,fake
A spike in COVID-19 cases in the U.S. seen in June 2020 is due to increased testing.,fake
An image that states that the Costa Rican government prohibited the sale of liquor due to the pandemic.,fake
Democrats to blame for Covid-19 related deaths. They control the drugs against the virus.,fake
Banana blocks the entrance of the coronavirus in cells,fake
"A study proves that ivermectin helped the number of COVID-19 cases decrease in Natal, Brazil.",fake
"Infant deaths decreased dramatically during the lockdown, when the number of vaccines administered was reduced; vaccines are a cause of sudden infant death syndrome",fake
"A message claims many physicians of Chang Gung Hospital, in Taiwan, are secretly under quarantine for COVID-19, indicating the local transmission and the lack of transparency of government data.",fake
US builds biological labs only on the territories of other countries.,fake
Coronavirus comes from a laboratory in Wuhan and is a commercial strategy of China.,fake
WHO backtracked and released a document stating masks are not efficient to protect healthy people against COVID-19.,fake
No one has died from the coronavirus; there are no antibodies that identify SARS-CoV-2; pathologists have no means of verifying whether a person was infected with SARS-CoV-2; SARS-CoV-2 has not fulfilled Koch??? ?s postulates.,fake
"If you have symptoms of COVID-19, you should self-medicate with chloroquine and azithromycin and take zinc and vitamin C and D supplements.",fake
